Gene	GSM1304836	GSM1304837	GSM1304838	GSM1304839	GSM1304840	GSM1304841	GSM1304842	GSM1304843	GSM1304844	GSM1304845	GSM1304846	GSM1304847	GSM1304848	GSM1304849	GSM1304850	GSM1304851
Dusp10	46.20265	45.491595	29.80985	55.44125	203.56335	293.8658	241.76661	226.43985	97.33295	48.2272	31.6498	49.5837	198.53195	137.46405	140.2506	160.6895
Itk	3.692314375	10.5884	7.4070406875	15.276543125	3.270535	11.194005	7.052945	14.957211875	6.237956875	6.87262375	3.511055	11.35699625	5.938121875	17.677455625	17.70412975	2.739005375
Tomm70a	453.32955	413.246275	417.897925	407.531875	534.552225	543.14555	573.0635	642.4868	397.7132	413.03915	414.938875	491.215775	312.1425725	399.20683	565.7756205	448.33152
Sod2	3222.39784375	1266.09802031	1279.34655156	1355.29506406	1764.8932125	1395.86950625	1331.90923125	1218.08560781	11297.6843906	13325.1644063	14307.7783594	13775.8868906	11304.6861094	12646.7691875	12734.2151563	12649.8240469
Ethe1	760.636	779.009	828.38	864.184	850.867	749.418	740.731	747.363	432.725	683.719	790.222	641.641	451.982	382.656	435.132	401.711
Pim2	849.159	110.965	111.754	83.5438	191.895	113.091	150.72	120.944	235.681	77.6856	123.647	77.8581	189.481	120.067	156.689	103.629
Arl6ip5	7080.94	7014.47	7699.77	8226.37	8042.57	7000.85	8212.77	8220.32	2703.62	2442.72	2632.97	2721.16	3495.94	3975.66	4402.52	5177.02
Mccc1	448.903	521.9125	398.86765	512.215	493.14375	492.2225	490.5218	501.36435	405.54775	440.9567	469.17775	518.0882	393.58515	358.98345	356.958	362.857
Chchd4	1936.33	1258.28	1134.24	1223.5	1219.48	1221.58	1186.35	1164.51	1163.79	1545.15	1439.3	1729.46	974.828	1445.49	1587.49	1621.59
Irf7	2686.84	600.208	573.49	390.897	3827.56	5923.39	4198.74	4102.23	25963.2	18121.9	19778.9	17541.7	29930.9	17471.7	15956.9	17270.7
Polm	111.073	154.294	192.863	180.03	109.451	134.491	119.346	170.057	127.413	223.841	201.451	196.902	212.788	209.504	208.618	187.716
Ccl6	5746.52	13937.0	13238.41	15655.6	4031.49	5433.015	5698.015	5925.52	2759.4	11350.86	7369.655	6543.995	1606.2525	1938.812	1091.7385	1323.3545
Cd14	27320.9	17219.1	19115.0	19423.0	11273.7	3959.17	4923.52	5065.66	19617.5	23851.1	21681.8	24814.6	17297.4	15562.2	18500.7	19956.1
Pdk4	20.1345	101.707	68.9522	11.02	1.81947	86.1167	18.3679	44.7564	2.9776	27.5308	3.00311	7.059	2.74125	39.2323	4.19331	16.4326
Ndufa5	2468.865	2458.305	2195.555	2126.135	2970.76	2958.175	3020.18	2871.025	1527.405	2476.435	2425.33	2445.325	1669.46	2440.22	2530.3	2390.985
Cfb	256.877	45.3688	31.9821	89.7099	2304.12	1671.68	979.415	997.173	13770.2	17664.7	19224.3	19487.9	14090.5	12835.9	11417.8	12561.6
Grpel1	2277.4	2381.52	2182.48	2436.27	1830.59	1588.1	1115.68	1314.92	2648.02	3195.28	3115.13	2897.54	2605.47	3652.56	3627.3	3213.25
Pycard	1709.67555	1037.571775	1009.7653	1032.057525	2474.54175	1756.08725	1764.2549	1808.64425	1039.737325	978.9704	1167.09745	1119.8999	793.58625	441.495625	446.94435	450.1654
Mlh1	327.695	418.99	398.65	376.798	285.094	298.779	293.088	254.376	176.329	305.709	236.09	302.258	131.149	240.869	192.084	250.182
Ndufa2	10308.2	8801.79	9034.07	9053.47	11801.0	10614.9	9708.79	9568.41	10241.5	10442.1	10489.7	10089.7	10026.5	9658.57	10630.0	10908.2
Cadm1	1850.502	2626.02525	3002.31875	2745.88675	3245.9675	4104.64125	4449.60875	3924.605	654.136125	494.457625	493.67275	407.264375	857.290125	972.477125	971.2615	904.759375
C1qa	28119.0	19975.4	22360.7	22931.0	32295.6	30299.5	28064.4	31863.2	27893.9	22249.8	22865.2	19722.3	28239.1	11859.8	14332.9	11477.5
Slc9a1	394.475	536.738	577.66	547.989	540.723	638.3	625.844	694.133	936.934	837.132	856.112	1002.51	1238.59	1327.16	1469.37	1471.24
